objectid,event_time_utc,event_time_epoch_ms,city_twp,display_address,incident_type,agency_type,agency_name,latitude,longitude
3,2026-08-02T01:26:00Z,1785633960000,SPARTA TWP,11200 BLOCK OF LONG LAKE DR NW,SUSPICIOUS INCIDENT,Police,KENT CO SHERIFF,,
1,2026-08-02T01:27:00Z,1785634020000,WALKER,1400 BLOCK OF MAYNARD AVE SW,SUSPICIOUS INCIDENT,Police,KENT CO SHERIFF,,
2,2026-08-02T01:28:00Z,1785634080000,BYRON TWP,8100 BLOCK OF BYRON DEPOT DR SW,SUSPICIOUS INCIDENT,Police,KENT CO SHERIFF,,
1,2026-08-02T01:35:00Z,1785634500000,WYOMING,28TH ST SW / BURLINGAME AVE SW,VEHICLE CRASH,Police,WYOMING POLICE,,
9,2026-08-02T01:37:00Z,1785634620000,WALKER,US-131 SB NO ANN-WK,VEHICLE CRASH,Police,WALKER FIRE,43.00318328,-85.67603708
2,2026-08-02T01:40:00Z,1785634800000,PLAINFIELD TWP,1900 BLOCK OF HOUSE ST NE,WIRE DOWN,Fire,PLAINFIELD TWP FIRE,,
3,2026-08-02T01:41:00Z,1785634860000,WALKER,100 BLOCK OF MANZANA CT NW,SUSPICIOUS INCIDENT,Police,WALKER POLICE,,
1,2026-08-02T01:42:00Z,1785634920000,GRANDVILLE,3900 BLOCK OF 28TH ST SW,VEHICLE CRASH,Police,GRANDVILLE POLICE,,
1,2026-08-02T01:45:00Z,1785635100000,KENTWOOD,3100 BLOCK OF 28TH ST SE,DISORDERLY PERSON,Police,KENTWOOD POLICE,,
5,2026-08-02T01:49:00Z,1785635340000,WYOMING,1100 BLOCK OF BRYANT ST SW,STOLEN VEHICLE,Police,WYOMING POLICE,,
4,2026-08-02T01:51:00Z,1785635460000,BYRON TWP,1000 BLOCK OF BAYOU DR SW,LARCENY,Police,KENT CO SHERIFF,,
1,2026-08-02T01:52:00Z,1785635520000,KENTWOOD,400 BLOCK OF 48TH ST SE,INJUNCTIVE VIOLATION,Police,KENTWOOD POLICE,,
2,2026-08-02T01:57:00Z,1785635820000,GRANDVILLE,3300 BLOCK OF CHICAGO DR SW,GENERAL ASSIST,Police,GRANDVILLE POLICE,,
1,2026-08-02T01:59:00Z,1785635940000,GRAND RAPIDS TWP,4100 BLOCK OF CASCADE RD SE,BURGLAR ALARM,Police,KENT CO SHERIFF,,
2,2026-08-02T02:05:00Z,1785636300000,WYOMING,2400 BLOCK OF 28TH ST SW,DISORDERLY PERSON,Police,WYOMING POLICE,,
2,2026-08-02T02:15:00Z,1785636900000,WYOMING,2600 BLOCK OF BYRON CENTER AVE SW,CARBON MONOXIDE INVESTIGATION,Fire,WYOMING FIRE,,
1,2026-08-02T02:16:00Z,1785636960000,WYOMING,28TH ST SW / DE HOOP AVE SW,GENERAL ASSIST,Police,WYOMING POLICE,,
1,2026-08-02T02:16:00Z,1785636960000,WYOMING,28TH ST SW / DEHOOP AVE SW,GENERAL ASSIST,Police,WYOMING POLICE,,
1,2026-08-02T02:18:00Z,1785637080000,GAINES TWP,900 BLOCK OF WOODFIELD EAST DR SE,GENERAL ASSIST,Police,KENT CO SHERIFF,,
1,2026-08-02T02:32:00Z,1785637920000,CALEDONIA,CHERRY VALLEY AVE SE / 92ND ST SE,BROADCAST,Police,KENT CO SHERIFF,,
1,2026-08-02T02:34:00Z,1785638040000,WALKER,700 BLOCK OF NORTHWAY DR NW,MEDICAL EMERGENCY,Fire,WALKER FIRE,,
4,2026-08-02T02:38:00Z,1785638280000,KENTWOOD,3900 BLOCK OF S ROSEBUD CT SE,911 HANG UP,Police,KENTWOOD POLICE,,
3,2026-08-02T02:40:00Z,1785638400000,KENTWOOD,CROSSWINDS DR SE / TRADEWINDS DR SE,FIRE ALARM,Fire,KENTWOOD FIRE,,
5,2026-08-02T02:41:00Z,1785638460000,KENTWOOD,3700 BLOCK OF 32ND ST SE,LOUD NOISE,Police,KENTWOOD POLICE,,
1,2026-08-02T02:43:00Z,1785638580000,CALEDONIA TWP,GREEN VALLEY RD SE / FENCEROW CT SE,LOUD NOISE,Police,KENT CO SHERIFF,,
2,2026-08-02T02:43:00Z,1785638580000,WYOMING,2300 BLOCK OF BYRON CENTER AVE SW,BURGLAR ALARM,Police,WYOMING POLICE,,
1,2026-08-02T02:59:00Z,1785639540000,WYOMING,4500 BLOCK OF JOLIETTE AVE SW,SOUND OF GUNSHOTS,Police,WYOMING POLICE,,
1,2026-08-02T03:03:00Z,1785639780000,WALKER,KENOWA AVE SW / BURTON ST,VEHICLE CRASH,Police,WALKER FIRE,,
